month,day,event
1,1,"The 2018 North American cold wave takes place, with record low temperatures in the Midwestern and Eastern United States. Times Square in New York City has a temperature of 9 degrees Fahrenheit, with -4 degrees Fahrenheit wind chill, in addition to Omaha having a temperature of -15 degrees Fahrenheit (-26 degrees Celsius) on December 30, 2017, lower than the previous record set in 1884."
1,1,"Retail sale of marijuana begins in California, the largest U.S. state to allow the sale of marijuana for recreational use."
1,3,"President Donald Trump boasts on Twitter that his nuclear button is ""much bigger"" and ""more powerful"" than North Korean leader Kim Jong-un's."
1,6,The 2017–18 United States flu season causes dozens of deaths.
1,8,The National Oceanic and Atmospheric Administration (NOAA) reports that 2017 was the costliest year on record for climate and weather-related disasters in the United States.
1,9,"The 2018 Southern California landslides occur, killing at least 13 people, and injuring 25.  The main damage occurs in Montecito, California, which was nearly burned by the Thomas Fire a month prior."
1,10,"The city council of Washington, D.C., renames the street outside Russia's embassy after Boris Nemtsov, an opposition politician and critic of Vladimir Putin who was shot dead outside the Kremlin."
1,11,"During a meeting with lawmakers about immigration, President Trump is reported to have asked, ""Why are we having all these people from shithole countries come here?"" His remarks are condemned as ""racist"" and ""shocking"" by a UN spokesman. (comp. Donald Trump racial views) The government of Botswana demands a clarification, and Ambassador Earl R. Miller is asked if the USDS regards Botswana as a ""shithole"" country. The event is termed by many media outlets ""Shitholegate""."
1,12,A Baltimore woman who was a patient at the University of Maryland Medical Center is taken outside and left by hospital employees in freezing temperatures wearing nothing but her hospital gown and socks. She is stranded until bystander Imanu Baraka calls 911.
1,13,"The Hawaii Emergency Management Agency sends a false alarm warning of an incoming ballistic missile attack, causing widespread panic across the state."
1,15,"Police in California arrest a couple, 57-year-old computer engineer at Northrop Grumman David Allen Turpin and his wife, 49-year-old Louise Anna Turpin, who allegedly held their 13 children captive, some chained to beds in the dark."
1,16,"Democrat Patty Schachtner wins the special election for Wisconsin's 10th Senate District, the same district President Trump won by 17 points."
1,16,A meteor is reported near Michigan that causes a magnitude 2.0 earthquake.
1,18,"Scotland Yard reveals that U.S. actor Kevin Spacey is being investigated over a third accusation of sexual assault in the UK, from 2005."
1,20,Senate Democrats block a bill that would have kept the government running until mid-February and the government shutdown of January 2018 begins and Naomi Parker Fraley dies to do cancer.
1,22,"Amazon opens the first Amazon Go store to the public, the first completely cashier-less grocery store, located in Seattle."
1,23,A tsunami alert is triggered after an 8.0-magnitude earthquake is recorded off the southern Alaskan coast.
1,24,Disgraced Olympic gymnastics team doctor Larry Nassar receives a prison sentence of up to 175 years after testimony from nearly 160 of his victims.
1,24,President Trump attends the World Economic Forum at Davos in Switzerland.
1,30,President Trump gives his first State of the Union Address. 75 percent of State of the Union viewers approved of Trump's address.
2,2,President Trump approves the release of a controversial Republican memo accusing the FBI of abusing its powers during the inquiry into alleged Russian meddling of US elections.
2,4,"The Philadelphia Eagles win their first Super Bowl in franchise history by defeating the New England Patriots, 41–33, in Super Bowl LII, ending a 57-year championship drought."
2,5,"The Dow Jones share index closes down 4.6%, its biggest drop since the 2008 financial crisis."
2,6,SpaceX successfully launches its Falcon Heavy rocket from LC39A at John F. Kennedy Space Center.
2,9,"25 – The United States compete at the Winter Olympics in Pyeongchang, South Korea and win 9 gold, 8 silver, and 6 bronze medals."
2,14,"A mass shooting occurs at Marjory Stoneman Douglas High School in Parkland, Florida, resulting in 17 deaths. It is the deadliest high school shooting in the United States, surpassing the 1999 Columbine High School massacre."
2,16,Special Counsel Robert Mueller announces that 13 Russians have been charged with interfering in the 2016 Presidential election.
2,18,"In Stock Car racing, Austin Dillon wins the 60th running of the Daytona 500. Darrell Wallace Jr. finishes 2nd highest finish for an African-American in the Daytona 500."
2,22,Teachers and other education personnel in West Virginia go on the first ever statewide strike in state history.
2,23,"President Trump announces a plan for the largest ever package of sanctions against North Korea, aimed at cutting off revenue for its nuclear program."
2,23,"President Trump's former deputy campaign manager, Rick Gates, admits charges of conspiracy and lying to investigators in a plea deal."
2,24,Paul Manafort is indicted with five federal criminal charges including money laundering and foreign lobbying violations.
2,25,"In the wake of concerns about gun control, a number of major companies announce they are severing ties with the National Rifle Association (NRA) – including Alamo, Allied Van Lines, Avis Rent a Car, Budget Rent a Car, Delta, Enterprise, First National Bank of Omaha, Hertz, Met Life, National, SimpliSafe, Symantec, Teladoc, and United."
3,1,President Trump announces tariffs of 25% on steel and 10% on aluminium imports.
3,2,"A huge windstorm strikes Maryland, Virginia and Washington D.C., closing bridges and schools and causing thousands of power outages."
3,4,"The Shape of Water wins Best Picture in the 90th Academy Awards. Additionally, Guillermo del Toro wins Best Director for The Shape of Water and Frances McDormand wins Best Actress for Three Billboards Outside Ebbing, Missouri, and Gary Oldman for Darkest Hour."
3,5,"Ohio Attorney General Mike DeWine sues agricultural giant Monsanto, alleging the company concealed dangers posed by a toxic chemical compound it manufactured for nearly a half century."
3,6,"Gary Cohn, a top economic adviser to President Trump, resigns his position."
3,7,"Stormy Daniels, an adult film actress who alleges she had an affair with President Trump, files a lawsuit against him alleging that a nondisclosure contract she signed is invalid."
3,7,Florida passes a law by 67-50 votes to raise the age to buy a gun from 18 to 21 after the Marjory Stoneman Douglas High School shooting.
3,9,President Trump accepts an invite from Kim Jong-un through South Korean officials for a meeting by May.
3,9,Former drug firm executive Martin Shkreli is sentenced to seven years in federal prison for defrauding investors.
